,input_x,target_y,unique_target,training_acc,validation_acc,training_loss,validation_loss,glove_vector,attn_layer,conv1d,no_of_epochs_run,batch_size,learning_rate,embb_trainable
0,short_long,y_75,10,0.8979591727256775,0.7322993874549866,0.32527706027030945,0.9406786561012268,yes,no,yes,11,8,3.200000264769187e-07,False
1,short_long,y_75,10,0.8844661712646484,0.7336480021476746,0.36022278666496277,0.889317512512207,yes,no,yes,17,16,9.99999993922529e-09,False
2,short_long,y_75,10,0.847866415977478,0.7322993874549866,0.4739131033420563,0.8387962579727173,yes,no,yes,9,32,1.6000001323845936e-06,False
3,short_long,y_75,10,0.7987856268882751,0.7269049286842346,0.674618124961853,0.8809928297996521,yes,no,yes,11,100,3.200000264769187e-07,False
4,short_long,y_75,10,0.9585090279579163,0.7552258968353271,0.15038734674453735,0.9965307712554932,yes,no,yes,11,8,6.400000529538374e-08,True
5,short_long,y_75,10,0.9585090279579163,0.7424139976501465,0.1699112057685852,0.992903470993042,yes,no,yes,8,16,1.6000001323845936e-06,True
6,short_long,y_75,10,0.9495698809623718,0.7444369792938232,0.19430069625377655,1.002487063407898,yes,no,yes,11,32,3.200000264769187e-07,True
7,short_long,y_75,10,0.9347276091575623,0.7478085160255432,0.2641807794570923,0.9631703495979309,yes,no,yes,10,100,1.6000001323845936e-06,True
